Description,Price,Rating,ReviewCount,Url
"ZOTAC GAMING GeForce GTX 1650 OC 4GB GDDR6 128-bit Gaming Graphics Card, Super Compact, ZT-T16520F-10L",$159.99,,,https://www.amazon.com/ZOTAC-GeForce-128-bit-Graphics-ZT-T16520F-10L/dp/B0881YZJ45/ref=sr_1_14?keywords=gpu&qid=1668124665&sr=8-14
"EVGA 06G-P4-1068-KR GeForce GTX 1660 Super Sc Ultra Gaming, 6GB GDDR6, Dual Fan, Metal Backplate",$229.93,,,https://www.amazon.com/EVGA-GeForce-Gaming-Backplate-06G-P4-1068-KR/dp/B07ZHZL2JB/ref=sr_1_17_mod_primary_new?keywords=gpu&qid=1668124665&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-17
"XFX Speedster SWFT 210 Radeon RX 6600 CORE Gaming Graphics Card with 8GB GDDR6 HDMI 3xDP, AMD RDNA 2 RX-66XL8LFDQ",$229.99,,,https://www.amazon.com/XFX-Speedster-Radeon-Graphics-RX-66XL8LFDQ/dp/B09HHLX543/ref=sr_1_18?keywords=gpu&qid=1668124665&sr=8-18
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Twin Fan Ampere OC Graphics Card (RTX 3060 Ventus 2X 12G OC),$379.99,,,https://www.amazon.com/MSI-GeForce-RTX-3060-12G/dp/B08WPRMVWB/ref=sr_1_19?keywords=gpu&qid=1668124665&sr=8-19
"ZOTAC Gaming GeForce RTX 3050 Twin Edge OC 8GB GDDR6 128-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Freeze Fan Stop, Active Fan Control, ZT-A30500H-10M",$296.99,,,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-A30500H-10M/dp/B09R2NWCV1/ref=sr_1_20?keywords=gpu&qid=1668124665&sr=8-20
"EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming, 12G-P5-3967-KR, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate","$1,449.99",,,https://www.amazon.com/EVGA-GeForce-12G-P5-3967-KR-Technology-Backplate/dp/B09622N253/ref=sr_1_21?keywords=gpu&qid=1668124665&sr=8-21
"XFX Speedster MERC319 AMD Radeon RX 6900 XT Black Gaming Graphics Card with 16GB GDDR6, HDMI, 3xDP, AMD RDNA 2 RX-69XTATBD9",$679.99,,,https://www.amazon.com/XFX-Speedster-MERC319-Graphics-RX-69XTATBD9/dp/B09BZP8KZG/ref=sr_1_22?keywords=gpu&qid=1668124665&sr=8-22
"EVGA GeForce RTX 3090 FTW3 Ultra Gaming, 24GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate, 24G-P5-3987-KR","$1,820.86",,,https://www.amazon.com/EVGA-GeForce-Technology-Backplate-24G-P5-3987-KR/dp/B08J5F3G18/ref=sr_1_1?keywords=gpu&qid=1668124667&sr=8-1
"ZOTAC Gaming GeForce RTX™ 3080 Trinity OC LHR 10GB GDDR6X 320-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30800J-10PLHR",$732.99,,,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-A30800J-10PLHR/dp/B099ZCG8T5/ref=sr_1_2?keywords=gpu&qid=1668124667&sr=8-2
NVIDIA Quadro RTX 8000,"$5,699.99",,,https://www.amazon.com/PNY-VCQRTX8000-PB-NVIDIA-Quadro-Graphic/dp/B07NH3HKG9/ref=sr_1_3?keywords=gpu&qid=1668124667&sr=8-3
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Triple Fan Ampere OC Graphics Card (RTX 3060 Ventus 3X 12G OC),$379.99,,,https://www.amazon.com/MSI-RTX-3060-OC-12G/dp/B08WTFG5BX/ref=sr_1_4?keywords=gpu&qid=1668124667&sr=8-4
"ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop ZT-A30600H-10M",$399.50,,,https://www.amazon.com/ZOTAC-GeForce-Graphics-IceStorm-ZT-A30600H-10M/dp/B08W8DGK3X/ref=sr_1_5?keywords=gpu&qid=1668124667&sr=8-5
"MSI Gaming GeForce RTX 3090 Ti Gaming X Trio OC Graphics Card 24GB GDRR6X 384-Bit Tri-Frozr Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ MT HDMI 2.1, Anti-Sag RGB Holder","$1,609.99",,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NzI2NjI4MDM1Mzg0MjI6MTY2ODEyNDY2NzpzcF9tdGY6MjAwMDc4MTc1NjQ4ODk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FMSI-Graphics-Tri-Frozr-Architecture-DisplayPort%2Fdp%2FB0B9F9M3PD%2Fref%3Dsr_1_6_sspa%3Fkeywords%3Dgpu%26qid%3D1668124667%26sr%3D8-6-spons%26psc%3D1
"OEM AMD Radeon RX 5500 4GB GDDR6X PCIe ITX Graphics Card (Beats NVIDIA GeForce GTX 1050 TI, 1650 & RX 6400) (Made_by_HP)",$139.99,,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NzI2NjI4MDM1Mzg0MjI6MTY2ODEyNDY2NzpzcF9tdGY6MjAwMDk0MDY4MDM0MTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FRadeon-GDDR6X-Graphics-GeForce-Made_by_HP%2Fdp%2FB0BCXH712M%2Fref%3Dsr_1_7_sspa%3Fkeywords%3Dgpu%26qid%3D1668124667%26sr%3D8-7-spons%26psc%3D1%26smid%3DA2TC87EJKQMY9O
MSI Gaming GeForce RTX 3090 Ti Gaming X Trio OC Graphics Card 24GB GDRR6X 384-Bit Tri-Frozr Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ MT HDMI 2.1 Cable(4k@120Hz/8K@60Hz),"$1,599.99",,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NzI2NjI4MDM1Mzg0MjI6MTY2ODEyNDY2NzpzcF9tdGY6MjAwMDc4MTc1NjQ4Nzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FMSI-Graphics-Tri-Frozr-Architecture-DisplayPort%2Fdp%2FB0B9FDL2HN%2Fref%3Dsr_1_8_sspa%3Fkeywords%3Dgpu%26qid%3D1668124667%26sr%3D8-8-spons%26psc%3D1
MSI Gaming GeForce RTX 3090 Ti Gaming X Trio OC Graphics Card 24GB GDRR6X 384-Bit Tri-Frozr Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ MT HDMI Cable,"$1,599.99",,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NzI2NjI4MDM1Mzg0MjI6MTY2ODEyNDY2NzpzcF9tdGY6MjAwMDc3OTI1NjExMDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FMSI-Graphics-Tri-Frozr-Architecture-DisplayPort%2Fdp%2FB0B9FR4S48%2Fref%3Dsr_1_9_sspa%3Fkeywords%3Dgpu%26qid%3D1668124667%26sr%3D8-9-spons%26psc%3D1
ASRock RX 6800 XT PG D 16G OC AMD Radeon RX6800XT Graphics Board 16GB,$649.97,,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NzI2NjI4MDM1Mzg0MjI6MTY2ODEyNDY2NzpzcF9tdGY6MjAwMDc4NzA5MzQ3Mzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FASRock-Radeon-RX6800XT-Graphics-Board%2Fdp%2FB08QV6T8TG%2Fref%3Dsr_1_10_sspa%3Fkeywords%3Dgpu%26qid%3D1668124667%26sr%3D8-10-spons%26psc%3D1%26smid%3DA3UQFZV91RE0UX
"Drawing Tablet with Screen XP-PEN Artist 15.6 pro Computer Graphics Tablet 120% sRGB with Battery-Free Stylus Full-Laminated Technology, 15.6 inch Pen Display with 8 Shortcut Keys & Red Dial",$359.99,,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NzI2NjI4MDM1Mzg0MjI6MTY2ODEyNDY2NzpzcF9tdGY6MjAwMDI4MjQ2NDM1MDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FXP-PEN-Artist15-6-Pro-15-6-Full-Laminated%2Fdp%2FB07M5X7MH1%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dgpu%26qid%3D1668124667%26sr%3D8-11-spons%26psc%3D1
"ZOTAC Gaming GeForce RTX™ 3070 Ti Trinity OC 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30710J-10P",$649.50,,,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-A30710J-10P/dp/B09CML48LD/ref=sr_1_12?keywords=gpu&qid=1668124667&sr=8-12
"ZOTAC GAMING GeForce RTX™ 3080 Ti AMP Holo 12GB GDDR6X 384-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, HoloBlack, IceStorm 2.0 Advanced Cooling, SPECTRA 2.0 RGB Lighting, ZT-A30810F","$1,245.23",,,https://www.amazon.com/ZOTAC-Graphics-HoloBlack-IceStorm-ZT-A30810F-10P/dp/B08V1ZWGVR/ref=sr_1_13?keywords=gpu&qid=1668124667&sr=8-13
"ZOTAC GAMING GeForce GTX 1650 OC 4GB GDDR6 128-bit Gaming Graphics Card, Super Compact, ZT-T16520F-10L",$159.99,,,https://www.amazon.com/ZOTAC-GeForce-128-bit-Graphics-ZT-T16520F-10L/dp/B0881YZJ45/ref=sr_1_14?keywords=gpu&qid=1668124667&sr=8-14
"EVGA 06G-P4-1068-KR GeForce GTX 1660 Super Sc Ultra Gaming, 6GB GDDR6, Dual Fan, Metal Backplate",$229.93,,,https://www.amazon.com/EVGA-GeForce-Gaming-Backplate-06G-P4-1068-KR/dp/B07ZHZL2JB/ref=sr_1_17_mod_primary_new?keywords=gpu&qid=1668124667&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-17
"XFX Speedster SWFT 210 Radeon RX 6600 CORE Gaming Graphics Card with 8GB GDDR6 HDMI 3xDP, AMD RDNA 2 RX-66XL8LFDQ",$229.99,,,https://www.amazon.com/XFX-Speedster-Radeon-Graphics-RX-66XL8LFDQ/dp/B09HHLX543/ref=sr_1_18?keywords=gpu&qid=1668124667&sr=8-18
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Twin Fan Ampere OC Graphics Card (RTX 3060 Ventus 2X 12G OC),$379.99,,,https://www.amazon.com/MSI-GeForce-RTX-3060-12G/dp/B08WPRMVWB/ref=sr_1_19?keywords=gpu&qid=1668124667&sr=8-19
"ZOTAC Gaming GeForce RTX 3050 Twin Edge OC 8GB GDDR6 128-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Freeze Fan Stop, Active Fan Control, ZT-A30500H-10M",$296.99,,,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-A30500H-10M/dp/B09R2NWCV1/ref=sr_1_20?keywords=gpu&qid=1668124667&sr=8-20
"EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming, 12G-P5-3967-KR, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate","$1,449.99",,,https://www.amazon.com/EVGA-GeForce-12G-P5-3967-KR-Technology-Backplate/dp/B09622N253/ref=sr_1_21?keywords=gpu&qid=1668124667&sr=8-21
"XFX Speedster MERC319 AMD Radeon RX 6900 XT Black Gaming Graphics Card with 16GB GDDR6, HDMI, 3xDP, AMD RDNA 2 RX-69XTATBD9",$679.99,,,https://www.amazon.com/XFX-Speedster-MERC319-Graphics-RX-69XTATBD9/dp/B09BZP8KZG/ref=sr_1_22?keywords=gpu&qid=1668124667&sr=8-22
"EVGA GeForce RTX 3090 FTW3 Ultra Gaming, 24GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate, 24G-P5-3987-KR","$1,820.86",,,https://www.amazon.com/EVGA-GeForce-Technology-Backplate-24G-P5-3987-KR/dp/B08J5F3G18/ref=sr_1_1?keywords=gpu&qid=1668124668&sr=8-1
"ZOTAC Gaming GeForce RTX™ 3080 Trinity OC LHR 10GB GDDR6X 320-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30800J-10PLHR",$732.99,,,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-A30800J-10PLHR/dp/B099ZCG8T5/ref=sr_1_2?keywords=gpu&qid=1668124668&sr=8-2
NVIDIA Quadro RTX 8000,"$5,699.99",,,https://www.amazon.com/PNY-VCQRTX8000-PB-NVIDIA-Quadro-Graphic/dp/B07NH3HKG9/ref=sr_1_3?keywords=gpu&qid=1668124668&sr=8-3
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Triple Fan Ampere OC Graphics Card (RTX 3060 Ventus 3X 12G OC),$379.99,,,https://www.amazon.com/MSI-RTX-3060-OC-12G/dp/B08WTFG5BX/ref=sr_1_4?keywords=gpu&qid=1668124668&sr=8-4
"ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop ZT-A30600H-10M",$399.50,,,https://www.amazon.com/ZOTAC-GeForce-Graphics-IceStorm-ZT-A30600H-10M/dp/B08W8DGK3X/ref=sr_1_5?keywords=gpu&qid=1668124668&sr=8-5
"MSI Gaming GeForce RTX 3090 Ti Gaming X Trio OC Graphics Card 24GB GDRR6X 384-Bit Tri-Frozr Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ MT HDMI 2.1, Anti-Sag RGB Holder","$1,609.99",,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTUzMDI1MDcwMDgzNDE1OjE2NjgxMjQ2Njg6c3BfbXRmOjIwMDA3ODE3NTY0ODg5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FMSI-Graphics-Tri-Frozr-Architecture-DisplayPort%2Fdp%2FB0B9F9M3PD%2Fref%3Dsr_1_6_sspa%3Fkeywords%3Dgpu%26qid%3D1668124668%26sr%3D8-6-spons%26psc%3D1
"OEM AMD Radeon RX 5500 4GB GDDR6X PCIe ITX Graphics Card (Beats NVIDIA GeForce GTX 1050 TI, 1650 & RX 6400) (Made_by_HP)",$139.99,,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTUzMDI1MDcwMDgzNDE1OjE2NjgxMjQ2Njg6c3BfbXRmOjIwMDA5NDA2ODAzNDE5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FRadeon-GDDR6X-Graphics-GeForce-Made_by_HP%2Fdp%2FB0BCXH712M%2Fref%3Dsr_1_7_sspa%3Fkeywords%3Dgpu%26qid%3D1668124668%26sr%3D8-7-spons%26psc%3D1%26smid%3DA2TC87EJKQMY9O
MSI Gaming GeForce RTX 3090 Ti Gaming X Trio OC Graphics Card 24GB GDRR6X 384-Bit Tri-Frozr Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ MT HDMI 2.1 Cable(4k@120Hz/8K@60Hz),"$1,599.99",,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTUzMDI1MDcwMDgzNDE1OjE2NjgxMjQ2Njg6c3BfbXRmOjIwMDA3ODE3NTY0ODc5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FMSI-Graphics-Tri-Frozr-Architecture-DisplayPort%2Fdp%2FB0B9FDL2HN%2Fref%3Dsr_1_8_sspa%3Fkeywords%3Dgpu%26qid%3D1668124668%26sr%3D8-8-spons%26psc%3D1
MSI Gaming GeForce RTX 3090 Ti Gaming X Trio OC Graphics Card 24GB GDRR6X 384-Bit Tri-Frozr Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ MT HDMI Cable,"$1,599.99",,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTUzMDI1MDcwMDgzNDE1OjE2NjgxMjQ2Njg6c3BfbXRmOjIwMDA3NzkyNTYxMTA5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FMSI-Graphics-Tri-Frozr-Architecture-DisplayPort%2Fdp%2FB0B9FR4S48%2Fref%3Dsr_1_9_sspa%3Fkeywords%3Dgpu%26qid%3D1668124668%26sr%3D8-9-spons%26psc%3D1
ASRock RX 6800 XT PG D 16G OC AMD Radeon RX6800XT Graphics Board 16GB,$649.97,,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTUzMDI1MDcwMDgzNDE1OjE2NjgxMjQ2Njg6c3BfbXRmOjIwMDA3ODcwOTM0NzM5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FASRock-Radeon-RX6800XT-Graphics-Board%2Fdp%2FB08QV6T8TG%2Fref%3Dsr_1_10_sspa%3Fkeywords%3Dgpu%26qid%3D1668124668%26sr%3D8-10-spons%26psc%3D1%26smid%3DA3UQFZV91RE0UX
"Drawing Tablet with Screen XP-PEN Artist 15.6 pro Computer Graphics Tablet 120% sRGB with Battery-Free Stylus Full-Laminated Technology, 15.6 inch Pen Display with 8 Shortcut Keys & Red Dial",$359.99,,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTUzMDI1MDcwMDgzNDE1OjE2NjgxMjQ2Njg6c3BfbXRmOjIwMDAyODI0NjQzNTA5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FXP-PEN-Artist15-6-Pro-15-6-Full-Laminated%2Fdp%2FB07M5X7MH1%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dgpu%26qid%3D1668124668%26sr%3D8-11-spons%26psc%3D1
"ZOTAC Gaming GeForce RTX™ 3070 Ti Trinity OC 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30710J-10P",$649.50,,,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-A30710J-10P/dp/B09CML48LD/ref=sr_1_12?keywords=gpu&qid=1668124668&sr=8-12
"ZOTAC GAMING GeForce RTX™ 3080 Ti AMP Holo 12GB GDDR6X 384-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, HoloBlack, IceStorm 2.0 Advanced Cooling, SPECTRA 2.0 RGB Lighting, ZT-A30810F","$1,245.23",,,https://www.amazon.com/ZOTAC-Graphics-HoloBlack-IceStorm-ZT-A30810F-10P/dp/B08V1ZWGVR/ref=sr_1_13?keywords=gpu&qid=1668124668&sr=8-13
"ZOTAC GAMING GeForce GTX 1650 OC 4GB GDDR6 128-bit Gaming Graphics Card, Super Compact, ZT-T16520F-10L",$159.99,,,https://www.amazon.com/ZOTAC-GeForce-128-bit-Graphics-ZT-T16520F-10L/dp/B0881YZJ45/ref=sr_1_14?keywords=gpu&qid=1668124668&sr=8-14
"EVGA 06G-P4-1068-KR GeForce GTX 1660 Super Sc Ultra Gaming, 6GB GDDR6, Dual Fan, Metal Backplate",$229.93,,,https://www.amazon.com/EVGA-GeForce-Gaming-Backplate-06G-P4-1068-KR/dp/B07ZHZL2JB/ref=sr_1_17_mod_primary_new?keywords=gpu&qid=1668124668&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-17
"XFX Speedster SWFT 210 Radeon RX 6600 CORE Gaming Graphics Card with 8GB GDDR6 HDMI 3xDP, AMD RDNA 2 RX-66XL8LFDQ",$229.99,,,https://www.amazon.com/XFX-Speedster-Radeon-Graphics-RX-66XL8LFDQ/dp/B09HHLX543/ref=sr_1_18?keywords=gpu&qid=1668124668&sr=8-18
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Twin Fan Ampere OC Graphics Card (RTX 3060 Ventus 2X 12G OC),$379.99,,,https://www.amazon.com/MSI-GeForce-RTX-3060-12G/dp/B08WPRMVWB/ref=sr_1_19?keywords=gpu&qid=1668124668&sr=8-19
"ZOTAC Gaming GeForce RTX 3050 Twin Edge OC 8GB GDDR6 128-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Freeze Fan Stop, Active Fan Control, ZT-A30500H-10M",$296.99,,,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-A30500H-10M/dp/B09R2NWCV1/ref=sr_1_20?keywords=gpu&qid=1668124668&sr=8-20
"EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming, 12G-P5-3967-KR, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate","$1,449.99",,,https://www.amazon.com/EVGA-GeForce-12G-P5-3967-KR-Technology-Backplate/dp/B09622N253/ref=sr_1_21?keywords=gpu&qid=1668124668&sr=8-21
"XFX Speedster MERC319 AMD Radeon RX 6900 XT Black Gaming Graphics Card with 16GB GDDR6, HDMI, 3xDP, AMD RDNA 2 RX-69XTATBD9",$679.99,,,https://www.amazon.com/XFX-Speedster-MERC319-Graphics-RX-69XTATBD9/dp/B09BZP8KZG/ref=sr_1_22?keywords=gpu&qid=1668124668&sr=8-22
"MAXSUN GEFORCE GT 1030 2GB GDDR5 Video Graphics Card GPU Mini ITX Design, HDMI, DVI-D, Single Fan Cooling System",$106.39,,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzgzMTQyNjMzMTE1MDY3OjE2NjgxMjQ2NzA6c3BfYXRmOjIwMDA0ODgxMzE4NjU5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FMAXSUN-GEFORCE-GT-1030-Graphics%2Fdp%2FB08RD5VMNN%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dgpu%26qid%3D1668124670%26sr%3D8-1-spons%26psc%3D1
"MSI Gaming GeForce RTX 3090 Ti Gaming X Trio OC Graphics Card 24GB GDRR6X 384-Bit Tri-Frozr Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ MT HDMI 2.1, Anti-Sag RGB Holder","$1,609.99",,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzgzMTQyNjMzMTE1MDY3OjE2NjgxMjQ2NzA6c3BfYXRmOjIwMDA3ODE3NTY0ODg5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FMSI-Graphics-Tri-Frozr-Architecture-DisplayPort%2Fdp%2FB0B9F9M3PD%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dgpu%26qid%3D1668124670%26sr%3D8-2-spons%26psc%3D1
"EVGA GeForce RTX 3090 FTW3 Ultra Gaming, 24GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate, 24G-P5-3987-KR","$1,820.86",,,https://www.amazon.com/EVGA-GeForce-Technology-Backplate-24G-P5-3987-KR/dp/B08J5F3G18/ref=sr_1_3?keywords=gpu&qid=1668124670&sr=8-3
"ZOTAC Gaming GeForce RTX™ 3080 Trinity OC LHR 10GB GDDR6X 320-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30800J-10PLHR",$732.99,,,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-A30800J-10PLHR/dp/B099ZCG8T5/ref=sr_1_4?keywords=gpu&qid=1668124670&sr=8-4
NVIDIA Quadro RTX 8000,"$5,699.99",,,https://www.amazon.com/PNY-VCQRTX8000-PB-NVIDIA-Quadro-Graphic/dp/B07NH3HKG9/ref=sr_1_5?keywords=gpu&qid=1668124670&sr=8-5
"OEM AMD Radeon RX 5500 4GB GDDR6X PCIe ITX Graphics Card (Beats NVIDIA GeForce GTX 1050 TI, 1650 & RX 6400) (Made_by_HP)",$139.99,,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzgzMTQyNjMzMTE1MDY3OjE2NjgxMjQ2NzA6c3BfbXRmOjIwMDA5NDA2ODAzNDE5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FRadeon-GDDR6X-Graphics-GeForce-Made_by_HP%2Fdp%2FB0BCXH712M%2Fref%3Dsr_1_6_sspa%3Fkeywords%3Dgpu%26qid%3D1668124670%26sr%3D8-6-spons%26psc%3D1%26smid%3DA2TC87EJKQMY9O
MSI Gaming GeForce RTX 3090 Ti Gaming X Trio OC Graphics Card 24GB GDRR6X 384-Bit Tri-Frozr Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ MT HDMI 2.1 Cable(4k@120Hz/8K@60Hz),"$1,599.99",,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzgzMTQyNjMzMTE1MDY3OjE2NjgxMjQ2NzA6c3BfbXRmOjIwMDA3ODE3NTY0ODc5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FMSI-Graphics-Tri-Frozr-Architecture-DisplayPort%2Fdp%2FB0B9FDL2HN%2Fref%3Dsr_1_7_sspa%3Fkeywords%3Dgpu%26qid%3D1668124670%26sr%3D8-7-spons%26psc%3D1
MSI Gaming GeForce RTX 3090 Ti Gaming X Trio OC Graphics Card 24GB GDRR6X 384-Bit Tri-Frozr Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ MT HDMI Cable,"$1,599.99",,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzgzMTQyNjMzMTE1MDY3OjE2NjgxMjQ2NzA6c3BfbXRmOjIwMDA3NzkyNTYxMTA5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FMSI-Graphics-Tri-Frozr-Architecture-DisplayPort%2Fdp%2FB0B9FR4S48%2Fref%3Dsr_1_8_sspa%3Fkeywords%3Dgpu%26qid%3D1668124670%26sr%3D8-8-spons%26psc%3D1
ASRock RX 6800 XT PG D 16G OC AMD Radeon RX6800XT Graphics Board 16GB,$649.97,,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzgzMTQyNjMzMTE1MDY3OjE2NjgxMjQ2NzA6c3BfbXRmOjIwMDA3ODcwOTM0NzM5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FASRock-Radeon-RX6800XT-Graphics-Board%2Fdp%2FB08QV6T8TG%2Fref%3Dsr_1_9_sspa%3Fkeywords%3Dgpu%26qid%3D1668124670%26sr%3D8-9-spons%26psc%3D1%26smid%3DA3UQFZV91RE0UX
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Triple Fan Ampere OC Graphics Card (RTX 3060 Ventus 3X 12G OC),$379.99,,,https://www.amazon.com/MSI-RTX-3060-OC-12G/dp/B08WTFG5BX/ref=sr_1_10?keywords=gpu&qid=1668124670&sr=8-10
